,BEGIN_YEARMONTH,Day,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,YEAR,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,SOURCE,Year,Month
30994,200005,12,150,200005,12,150,1095064,5144050,MICHIGAN,2000,Hail,C,123,NEWAYGO,GRR,12-MAY-00 01:50:00,EST,12-MAY-00 01:50:00,0,0,0,0,NWS STORM SURVEY,2000,5
30995,200005,12,241,200005,12,241,1095064,5144051,MICHIGAN,2000,Thunderstorm Wind,C,67,IONIA,GRR,12-MAY-00 02:41:00,EST,12-MAY-00 02:41:00,0,0,0,0,NWS STORM SURVEY,2000,5
30996,200005,12,1815,200005,12,2315,1095065,5144059,MICHIGAN,2000,Flash Flood,C,5,ALLEGAN,GRR,12-MAY-00 18:15:00,EST,12-MAY-00 23:15:00,0,0,0,0,TRAINED SPOTTER,2000,5
30997,200005,12,2030,200005,12,2330,1095065,5144060,MICHIGAN,2000,Flash Flood,C,5,ALLEGAN,GRR,12-MAY-00 20:30:00,EST,12-MAY-00 23:30:00,0,0,0,0,TRAINED SPOTTER,2000,5
30998,200005,12,2100,200005,12,2330,1095065,5144061,MICHIGAN,2000,Flash Flood,C,15,BARRY,GRR,12-MAY-00 21:00:00,EST,12-MAY-00 23:30:00,0,0,0,0,NWS STORM SURVEY,2000,5
31015,200005,9,1830,200005,9,1830,1094970,5144520,MICHIGAN,2000,Thunderstorm Wind,C,91,LENAWEE,DTX,09-MAY-00 18:30:00,EST,09-MAY-00 18:30:00,0,0,0,0,NEWSPAPER,2000,5
31024,200006,14,1445,200006,14,1445,1094957,5144412,MICHIGAN,2000,Thunderstorm Wind,C,21,BERRIEN,IWX,14-JUN-00 14:45:00,EST,14-JUN-00 14:45:00,0,0,0,0,LAW ENFORCEMENT,2000,6
31025,200005,18,500,200005,20,1000,1095067,5144345,MICHIGAN,2000,Flash Flood,C,139,OTTAWA,GRR,18-MAY-00 05:00:00,EST,20-MAY-00 10:00:00,0,0,0,0,LAW ENFORCEMENT,2000,5
31047,200005,12,2115,200005,12,2115,1094972,5144854,MICHIGAN,2000,Hail,C,125,OAKLAND,DTX,12-MAY-00 21:15:00,EST,12-MAY-00 21:15:00,0,0,0,0,LAW ENFORCEMENT,2000,5
31080,200005,12,2130,200005,12,2130,1094972,5144855,MICHIGAN,2000,Thunderstorm Wind,C,99,MACOMB,DTX,12-MAY-00 21:30:00,EST,12-MAY-00 21:30:00,0,0,0,0,UNKNOWN,2000,5
31125,200005,9,153,200005,9,159,1095062,5145416,MICHIGAN,2000,Thunderstorm Wind,C,65,INGHAM,GRR,09-MAY-00 01:53:00,EST,09-MAY-00 01:59:00,0,0,0,0,LAW ENFORCEMENT,2000,5
31194,200005,12,1550,200005,12,1550,1094838,5144165,MICHIGAN,2000,Hail,C,129,OGEMAW,APX,12-MAY-00 15:50:00,EST,12-MAY-00 15:50:00,0,0,0,0,AMATEUR RADIO,2000,5
31195,200005,12,1550,200005,12,1550,1094838,5144166,MICHIGAN,2000,Hail,C,69,IOSCO,APX,12-MAY-00 15:50:00,EST,12-MAY-00 15:50:00,0,0,0,0,AMATEUR RADIO,2000,5
31196,200005,9,50,200005,9,50,1094968,5144430,MICHIGAN,2000,Thunderstorm Wind,C,63,HURON,DTX,09-MAY-00 00:50:00,EST,09-MAY-00 00:50:00,0,0,0,0,GENERAL PUBLIC,2000,5
31197,200005,9,1920,200005,9,1930,1094970,5144431,MICHIGAN,2000,Thunderstorm Wind,C,115,MONROE,DTX,09-MAY-00 19:20:00,EST,09-MAY-00 19:30:00,0,0,0,0,TRAINED SPOTTER,2000,5
31279,200005,18,1537,200005,18,1537,1095066,5144137,MICHIGAN,2000,Hail,C,5,ALLEGAN,GRR,18-MAY-00 15:37:00,EST,18-MAY-00 15:37:00,0,0,0,0,TRAINED SPOTTER,2000,5
31304,200005,18,1700,200005,18,1700,1095066,5144141,MICHIGAN,2000,Hail,C,159,VAN BUREN,GRR,18-MAY-00 17:00:00,EST,18-MAY-00 17:00:00,0,0,0,0,NWS STORM SURVEY,2000,5
31305,200005,23,2030,200005,23,2030,1094839,5144247,MICHIGAN,2000,Hail,C,11,ARENAC,APX,23-MAY-00 20:30:00,EST,23-MAY-00 20:30:00,0,0,0,0,AMATEUR RADIO,2000,5
31306,200005,24,120,200005,24,120,1094839,5144248,MICHIGAN,2000,Hail,C,69,IOSCO,APX,24-MAY-00 01:20:00,EST,24-MAY-00 01:20:00,0,0,0,0,TRAINED SPOTTER,2000,5
31310,200005,18,1410,200005,18,1410,1095066,5144133,MICHIGAN,2000,Hail,C,159,VAN BUREN,GRR,18-MAY-00 14:10:00,EST,18-MAY-00 14:10:00,0,0,0,0,LAW ENFORCEMENT,2000,5
31347,200005,18,1500,200005,19,400,1094973,5144968,MICHIGAN,2000,Flash Flood,C,115,MONROE,DTX,18-MAY-00 15:00:00,EST,19-MAY-00 04:00:00,0,0,0,0,LAW ENFORCEMENT,2000,5
31348,200005,19,1330,200005,19,2000,1094974,5144969,MICHIGAN,2000,Flood,Z,60,SHIAWASSEE,DTX,19-MAY-00 13:30:00,EST,19-MAY-00 20:00:00,0,0,0,0,OFFICIAL NWS OBS.,2000,5
31349,200005,19,1900,200005,20,500,1094974,5144970,MICHIGAN,2000,Flood,Z,53,SAGINAW,DTX,19-MAY-00 19:00:00,EST,20-MAY-00 05:00:00,0,0,0,0,OFFICIAL NWS OBS.,2000,5
31356,200005,12,227,200005,12,330,1095064,5144047,MICHIGAN,2000,Hail,C,81,KENT,GRR,12-MAY-00 02:27:00,EST,12-MAY-00 03:30:00,0,0,0,0,NWS STORM SURVEY,2000,5
