,BEGIN_YEARMONTH,Day,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EVENT_ID,STATE,YEAR,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,MAGNITUDE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,END_RANGE,Year,Month
2452,199304,24,1710,199304,24,1710,10328988,MICHIGAN,1993,Hail,C,113,MISSAUKEE,24-APR-93 17:10:00,EST,24-APR-93 17:10:00,0,0,0,0,0,0,0.75,0.0,0,3,0,1993,4
2453,199304,24,1723,199304,24,1723,10328989,MICHIGAN,1993,Hail,C,113,MISSAUKEE,24-APR-93 17:23:00,EST,24-APR-93 17:23:00,0,0,0,0,0,0,1.0,0.0,0,0,0,1993,4
2454,199308,3,1438,199308,3,1438,10328990,MICHIGAN,1993,Hail,C,113,MISSAUKEE,03-AUG-93 14:38:00,EST,03-AUG-93 14:38:00,0,0,0,0,0,0,0.75,0.0,0,2,0,1993,8
2455,199308,30,1641,199308,30,1641,10328991,MICHIGAN,1993,Thunderstorm Wind,C,113,MISSAUKEE,30-AUG-93 16:41:00,EST,30-AUG-93 16:41:00,0,0,0,0,0,0,0.0,0.0,0,2,0,1993,8
2456,199308,30,2035,199308,30,2035,10328992,MICHIGAN,1993,Thunderstorm Wind,C,113,MISSAUKEE,30-AUG-93 20:35:00,EST,30-AUG-93 20:35:00,0,0,0,0,0,0,0.0,0.0,0,1,0,1993,8
2457,199308,30,2112,199308,30,2112,10328993,MICHIGAN,1993,Thunderstorm Wind,C,113,MISSAUKEE,30-AUG-93 21:12:00,EST,30-AUG-93 21:12:00,0,0,0,0,0,0,0.0,0.0,0,1,0,1993,8
2551,199308,19,1750,199308,19,1750,10329495,MICHIGAN,1993,Thunderstorm Wind,C,3,ALGER,19-AUG-93 17:50:00,EST,19-AUG-93 17:50:00,0,0,0,0,0,0,0.0,0.0,0,10,0,1993,8
2581,199308,30,2215,199308,30,2215,10329485,MICHIGAN,1993,Thunderstorm Wind,C,1,ALCONA,30-AUG-93 22:15:00,EST,30-AUG-93 22:15:00,0,0,0,0,0,0,0.0,0.0,0,5,0,1993,8
2627,199308,3,1445,199308,3,1445,10331601,MICHIGAN,1993,Thunderstorm Wind,C,143,ROSCOMMON,03-AUG-93 14:45:00,EST,03-AUG-93 14:45:00,0,0,0,0,.5K,0,0.0,0.0,0,32,0,1993,8
2767,199308,23,2120,199308,23,2120,10329377,MICHIGAN,1993,Thunderstorm Wind,C,77,KALAMAZOO,23-AUG-93 21:20:00,EST,23-AUG-93 21:20:00,0,0,0,0,0,0,52.0,0.0,0,0,0,1993,8
2768,199308,27,1919,199308,27,1919,10329378,MICHIGAN,1993,Thunderstorm Wind,C,77,KALAMAZOO,27-AUG-93 19:19:00,EST,27-AUG-93 19:19:00,0,0,0,0,0,0,52.0,0.0,0,0,0,1993,8
